시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,읍면동,전체인구,어린이인구,신호등 300m,어린이비율,위험도점수
DGB아이꿈터어린이집,대구광역시 수성구 달구벌대로 2271-5 (수성동4가),2,3,15,3,8.0,0,35.860973,128.6108859,35.25,0.0,수성동,40632,3829,17,9.42,33.50100552426142
YMCA유치원,대구광역시 중구 중앙대로 375 (덕산동),1,1,12,0,8.5,0,35.866686,128.593173,29.56,0.0,성내동,25759,3336,5,12.95,39.63301669535546
가나유치원,대구광역시 달서구 송현로7길 15 (상인동),2,3,24,4,20.0,0,35.82353,128.5454,32.11,0.0,송현동,34671,1819,10,5.25,33.713907471314904
가람유치원,"대구광역시 북구 칠곡중앙대로52길 20 (태전동, 삼성아파트)",2,3,13,5,12.0,0,35.9198599,128.548361,42.48,0.0,태전동,43857,3081,15,7.03,34.73546452232186
가야유치원,"대구광역시 달서구 성서동로 350 (용산동, 평화타운)",0,0,0,0,30.0,0,35.85114028,128.5164431,33.27,0.0,용산동,54353,3961,11,7.29,39.90344543556087
가창초등학교,대구광역시 달성군 가창면 가창로 640 ,1,3,9,0,20.0,0,35.77105069,128.648247,52.94,32.4,가창면,7013,417,4,5.95,43.16324024759375
가톨릭소화어린이집,대구광역시 남구 현충로39길 74 (대명동),3,3,23,7,7.0,0,35.85011603,128.5769832,35.31,0.0,대명동,86443,4318,10,5.0,32.04594506315075
소화어린이집,대구광역시 달서구 월곡로51길 77 (상인동),6,4,21,3,10.0,0,35.81473892,128.5362016,36.08,0.0,상인동,60234,4622,2,7.67,36.84964219747931
강남유치원,대구광역시 동구 신암로18길 19 (신암동),2,2,22,4,8.0,0,35.877706,128.612603,34.16,0.0,신암동,59668,6097,12,10.22,35.04050116360201
강북초등학교,대구광역시 북구 구암서로 50 (구암동),3,5,45,8,18.0,0,35.9408343,128.566782,31.82,48.0,구암동,31652,2815,14,8.89,30.578973402575087
개미유치원,대구광역시 달서구 상원로3길 19-5 (상인동),5,1,10,6,6.0,0,35.81100225,128.5353256,36.08,0.0,상인동,60234,4622,10,7.67,35.38888654993205
경동초등학교,대구광역시 수성구 청호로76길 12 (범어동),3,4,47,11,10.0,0,35.85220526,128.6393816,36.68,205.8,범어동,71579,11095,5,15.5,37.32669999493991
경북대학교 사범대학 부설초등학교,대구광역시 중구 달구벌대로 2150 (봉산동),2,2,12,2,8.0,0,35.86358293,128.5980661,29.56,0.0,성내동,25759,3336,14,12.95,35.560885812054366
경북유치원,대구광역시 남구 중앙대로40길 10-1 (대명동),3,3,13,2,7.0,0,35.84992534,128.5912659,35.31,0.0,대명동,86443,4318,2,5.0,36.604143873686
경상유치원,대구광역시 남구 현충로48길 31-9 (대명동),2,4,33,8,9.0,0,35.85321709,128.5854639,35.31,0.0,대명동,86443,4318,9,5.0,31.136118270668355
경운초등학교,대구광역시 서구 평리로54길 16 (내당동),19,7,14,26,10.0,0,35.86087951,128.552788,30.86,112.6,내당동,32137,1704,14,5.3,22.87252372710859
경전유치원,대구광역시 북구 복현로 11 (복현동),1,3,11,0,16.0,1,35.893506,128.6227636,37.46,0.0,복현동,35769,3057,14,8.55,44.12923264597635
경진초등학교,대구광역시 북구 경진로12길 5 (복현동),5,6,39,10,8.0,0,35.89202775,128.6170922,37.46,403.0,복현동,35769,3057,4,8.55,36.16003215518387
계명유치원,대구광역시 남구 명덕로20길 24 (대명동),2,4,18,4,8.0,0,35.85645873,128.5793986,35.31,0.0,대명동,86443,4318,13,5.0,31.85188199259632
계성어린이집,대구광역시 수성구 범어로 157 (범어동),1,1,17,4,20.0,0,35.863437,128.635247,36.68,62.8,범어동,71579,11095,5,15.5,42.62810797029671
계성초등학교,대구광역시 중구 달성로 15 (대신동),3,3,39,5,18.0,0,35.86566471,128.5811278,18.69,26.75,대신동,7282,837,15,11.49,30.493219168137113
고산초등학교,대구광역시 수성구 달구벌대로 3067 (시지동),3,2,38,14,11.0,0,35.84395474,128.693198,41.83,54.2,고산동,87407,8926,7,10.21,35.15276523673204
고운어린이집,대구광역시 수성구 노변공원로7길 6-24 (노변동),2,1,19,4,10.0,1,35.83554109,128.6983109,41.83,15.6,고산동,87407,8926,11,10.21,45.80993227211999
관음어린이집,대구광역시 북구 관음중앙로22길 3 (관음동),4,2,15,4,6.0,0,35.9432277,128.5456811,55.86,39.75,관음동,14488,847,6,5.85,40.810988878459064
관음초등학교,대구광역시 북구 관음동로17길 16 (관음동),5,3,18,5,16.0,0,35.93992099,128.5471123,55.86,0.0,관음동,14488,847,15,5.85,37.66747452774787
교동초등학교,대구광역시 북구 관음중앙로34길 4 (읍내동),4,3,22,10,8.0,0,35.9447886,128.5494726,37.86,54.5,읍내동,24123,1772,7,7.35,34.18878115482795
구암어린이집,대구광역시 북구 구암로42길 13-20 (구암동),3,2,13,2,6.0,0,35.9302986,128.5630209,31.82,0.5,구암동,31652,2815,7,8.89,36.33797524243995
구암초등학교,대구광역시 북구 학정로 245 (구암동),4,8,63,15,34.0,0,35.92814416,128.5577585,31.82,0.0,구암동,31652,2815,16,8.89,26.164844602279736
구지세현유치원,대구광역시 달성군 구지면 국가산단대로70길 23 ,0,0,0,0,16.0,1,35.66159725,128.4202023,50.3,0.0,구지면,18964,3331,3,17.56,56.559042546770065
구지초등학교,대구광역시 달성군 구지면 창리로11길 45-11 ,6,4,21,3,12.0,0,35.66021157,128.4125564,50.3,168.0,구지면,18964,3331,9,17.56,43.94661399050042
국우초등학교,대구광역시 북구 도남중앙로10길 45 (국우동),4,0,0,0,30.0,0,35.95616,128.5858,44.54,0.0,국우동,30174,3460,0,11.47,47.62505467759636
궁전어린이집,대구광역시 서구 국채보상로61길 24 (평리동),4,2,6,5,8.0,1,35.8742607,128.5645604,35.23,0.0,평리동,57243,5135,25,8.97,38.769921654505794
