행정구역코드,시도명,시군구명,읍면동명,평일주말구분,평균속도
2201054,대구광역시,중구,삼덕동,평일,30.23
2201056,대구광역시,중구,성내1동,평일,29.6
2201059,대구광역시,중구,성내2동,평일,28.09
2201061,대구광역시,중구,성내3동,평일,31
2201062,대구광역시,중구,대신동,평일,18.69
2201064,대구광역시,중구,남산1동,평일,32.15
2201065,대구광역시,중구,남산2동,평일,31.33
2201066,대구광역시,중구,남산3동,평일,38.68
2201067,대구광역시,중구,남산4동,평일,31.11
2201068,대구광역시,중구,대봉1동,평일,37.2
2201069,대구광역시,중구,대봉2동,평일,28.11
2201070,대구광역시,중구,동인동,평일,35.43
2202051,대구광역시,동구,신암1동,평일,30.84
2202052,대구광역시,동구,신암2동,평일,31.04
2202053,대구광역시,동구,신암3동,평일,37.04
2202054,대구광역시,동구,신암4동,평일,38.44
2202055,대구광역시,동구,신암5동,평일,33.43
2202056,대구광역시,동구,신천1·2동,평일,33.95
2202058,대구광역시,동구,신천3동,평일,35.09
2202059,대구광역시,동구,신천4동,평일,33.62
2202060,대구광역시,동구,효목1동,평일,35.25
2202061,대구광역시,동구,효목2동,평일,33.8
2202062,대구광역시,동구,도평동,평일,79.96
2202063,대구광역시,동구,불로·봉무동,평일,55.11
2202065,대구광역시,동구,지저동,평일,38.76
2202066,대구광역시,동구,동촌동,평일,37.55
2202068,대구광역시,동구,방촌동,평일,38.96
2202069,대구광역시,동구,해안동,평일,72.8
2202071,대구광역시,동구,공산동,평일,55.62
2202073,대구광역시,동구,안심1동,평일,41.55
2202074,대구광역시,동구,안심2동,평일,47.96
2202075,대구광역시,동구,안심3·4동,평일,48.38
2203051,대구광역시,서구,내당1동,평일,32.34
2203052,대구광역시,서구,내당2·3동,평일,30.23
2203053,대구광역시,서구,내당4동,평일,30
2203054,대구광역시,서구,비산1동,평일,32.37
2203055,대구광역시,서구,비산2·3동,평일,35.03
2203056,대구광역시,서구,비산4동,평일,35.09
2203057,대구광역시,서구,비산5동,평일,34.72
2203058,대구광역시,서구,비산6동,평일,35.7
2203059,대구광역시,서구,비산7동,평일,39.24
2203060,대구광역시,서구,평리1동,평일,35.75
2203061,대구광역시,서구,평리2동,평일,43.35
2203062,대구광역시,서구,평리3동,평일,36.1
2203063,대구광역시,서구,평리4동,평일,32.85
2203064,대구광역시,서구,평리5동,평일,30.69
2203065,대구광역시,서구,평리6동,평일,32.61
2203066,대구광역시,서구,상중이동,평일,50.57
2203068,대구광역시,서구,원대동,평일,29.51
2204051,대구광역시,남구,이천동,평일,41.53
2204053,대구광역시,남구,봉덕1동,평일,32.4
2204054,대구광역시,남구,봉덕2동,평일,43.87
2204055,대구광역시,남구,봉덕3동,평일,35.01
2204056,대구광역시,남구,대명1동,평일,39.71
2204057,대구광역시,남구,대명2동,평일,37.27
2204058,대구광역시,남구,대명3동,평일,28.28
2204059,대구광역시,남구,대명4동,평일,33.07
2204060,대구광역시,남구,대명5동,평일,30.21
2204061,대구광역시,남구,대명6동,평일,39.25
