"시설명","시설종류","지정일자","주소","구역지정수","시설물 CCTV 수","시설물 도로표지판 수","시설물 과속방지턱 수","어린이보행자 사고건수 (2020년 ~ 2021년)"
"대구상원유치원","유치원(일반)","","대구광역시 달서구 학산남로 34 (상인동)","0","0","0","0","2"
"코끼리어린이집","어린이집","","대구광역시 달서구 성서로72길 97-11 (이곡동)","1","1","5","1","0"
"토마토어린이집","어린이집","","대구광역시 달서구 성서동로65길 24 (이곡동)","2","0","7","5","0"
"으뜸유치원","유치원(일반)","","대구광역시 동구 위남로2길 38 (봉무동)","1","1","9","3","0"
"매동초등학교","초등학교","","대구광역시 수성구 천을로31길 16 (매호동)","2","4","32","9","0"
"화랑어린이집","어린이집","","대구광역시 남구 두류공원로13길 27-5 (대명동)","1","1","5","2","0"
"혜민어린이집","유치원(일반)","","대구광역시 달성군 화원읍 명천로 231 (명곡미래빌 2단지)","0","0","0","0","0"
"대구불로초등학교","초등학교","","대구광역시 동구 방천로3길 19 (불로동)","4","4","19","14","0"
"늘푸른유치원","유치원(일반)","2020년 12월 21일","대구광역시 달성군 화원읍 명곡로 4 ","0","0","0","0","0"
"서변초등학교 조야분교장","초등학교","","대구광역시 북구 조야로8길 16 (조야동)","2","2","15","2","0"
"대구남양학교","특수학교","","대구광역시 수성구 무학로37안길 6 (지산동)","5","5","40","9","0"
"대진초등학교","초등학교","","대구광역시 달서구 상화로 70 (대곡동)","4","4","28","6","1"
"인지초등학교","초등학교","","대구광역시 서구 서대구로66길 20 (비산동)","10","2","13","10","0"
"정원유치원","유치원(일반)","","대구광역시 동구 이노밸리로29길 76 (각산동)","2","2","28","1","0"
"전원어린이집","어린이집","","대구광역시 수성구 유니버시아드로68길 16 (욱수동)","1","1","14","3","0"
"동양유치원","유치원(일반)","","대구광역시 서구 평리로78길 8-12 (내당동)","2","1","3","4","0"
"장원유치원","유치원(일반)","2014년 06월 17일","대구광역시 달성군 현풍읍 현풍동로 49 ","0","0","0","0","0"
"행복한어린이집","어린이집","","대구광역시 달서구 화암로 301 (대곡동)","1","1","10","2","0"
"대구화동초등학교","초등학교","","대구광역시 달성군 화원읍 성암로 38 ","6","9","56","11","0"
"화원꽃뜰유치원","유치원(일반)","","대구광역시 달성군 화원읍 성암로 38 ","0","0","0","0","0"
"두산초등학교","초등학교","","대구광역시 수성구 동대구로6길 31 (지산동)","6","8","45","13","0"
"대구동촌초등학교","초등학교","","대구광역시 동구 동촌로 168 (방촌동)","2","1","20","1","0"
" 궁전어린이집","어린이집","","대구광역시 서구 국채보상로61길 24 (평리동)","4","2","6","5","1"
