시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수,위험도_raw,위험도점수(0~100)
보성은하유치원,"대구광역시 달서구 월곡로 320 (상인동, 보성은하아파트)",0,0,0,0,20.0,4,35.82358041,128.5342978,36.08,0.6,20,0.6961210416552043,100.0
아이위드유치원,대구광역시 달서구 장기로 173 (본리동),1,1,16,3,15.0,4,35.84256383,128.5420251,32.6,69.30000000000001,24,0.6726179383245792,95.35784833222762
대구한솔초등학교,대구광역시 달서구 조암남로 172-13 (유천동),2,3,28,6,12.0,4,35.81656683,128.5156958,30.92,21.2,16,0.6482307686149466,90.54108269292989
송일초등학교,대구광역시 달서구 학산로2길 38 (월성동),2,4,25,7,15.0,4,35.82411883,128.5328131,32.97,71.0,26,0.6403337175190265,88.9813180780315
썸머힐어린이집,대구광역시 달서구 조암남로27길 10 (대천동),1,1,4,0,8.0,3,35.81744454,128.5194445,32.97,69.30000000000001,11,0.6201615858980497,84.99707424735307
대구유가초등학교,대구광역시 달성군 유가읍 테크노대로5길 34 ,3,2,55,0,9.0,2,35.69223444,128.4677385,54.32,478.8,15,0.6106444094331932,83.11731496717113
진천유치원,대구광역시 달서구 상화로9길 15 (진천동),2,2,13,7,8.0,3,35.80895431,128.5193669,30.92,19.8,2,0.5938600108360826,79.80219003051619
용지초등학교,대구광역시 수성구 지산로 12 (지산동),5,2,36,8,20.0,2,35.822008,128.632722,47.09,356.6,10,0.5634062834880593,73.78720472369068
칠성초등학교,대구광역시 북구 침산남로32길 17 (침산동),4,4,28,7,9.0,2,35.88703349,128.5932396,37.06,542.0,9,0.562536616942186,73.6154348961262
무지개유치원,대구광역시 수성구 용학로 197 (지산동),1,1,12,0,16.5,2,35.844469,128.692702,41.83,142.0,5,0.5622506842900603,73.55895968435252
대구한샘초등학교,대구광역시 달서구 월배로11길 42 (대천동),3,3,29,8,20.0,3,35.81699982,128.5188133,32.97,69.30000000000001,19,0.5551735365559552,72.16113605677484
