시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,읍면동
가창초등학교,대구광역시 달성군 가창면 가창로 640 ,1,3,9,0,,0,35.77105069,128.648247,가창면
용계초교병설,대구광역시 달성군 가창면 가창로221길 1 ,0,0,0,0,,0,35.80456757,128.6216025,가창면
용계초등학교,대구광역시 달성군 가창면 가창로221길 1 ,2,3,25,6,,0,35.80456757,128.6216025,가창면
 미리내어린이집,대구광역시 달서구 감삼길 99 (감삼동),0,0,0,0,10,1,35.84998499,128.5433046,감삼동
대구감삼초등학교,대구광역시 달서구 당산로 123 (감삼동),8,4,41,13,6,1,35.84917998,128.5451459,감삼동
대구본리초등학교,대구광역시 달서구 장기로 198 (감삼동),7,4,33,16,8,1,35.84457103,128.5386403,감삼동
무지개어린이집,대구광역시 달서구 감삼남2길 108 (감삼동),2,2,7,2,6,1,35.845311,128.5424424,감삼동
연제어린이집,대구광역시 달서구 감삼남길 49 (감삼동),2,1,9,4,10,0,35.8480268,128.5398261,감삼동
원화유치원,대구광역시 달서구 당산로21안길 49 (감삼동),2,1,8,7,8,1,35.84509678,128.5438481,감삼동
조은어린이집,대구광역시 달서구 당산로45길 95 (감삼동),2,1,9,4,6,2,35.85541593,128.5422125,감삼동
동촌성모유치원,대구광역시 동구 해동로 219 (검사동),1,0,12,2,15,0,35.88620992,128.6533618,동촌동
 예나유치원,"대구광역시 수성구 욱수천로 133 (사월동, 시지2차사월보성타운)",1,1,12,4,15,0,35.840293,128.7162017,고산동
고산초등학교,대구광역시 수성구 달구벌대로 3067 (시지동),3,2,38,14,11,0,35.84395474,128.693198,고산동
고운어린이집,대구광역시 수성구 노변공원로7길 6-24 (노변동),2,1,19,4,10,1,35.83554109,128.6983109,고산동
노변초등학교,대구광역시 수성구 노변공원로 52 (시지동),2,1,39,14,17.5,1,35.83774591,128.6976275,고산동
동산어린이집,대구광역시 수성구 달구벌대로652길 65-6 (욱수동),1,1,11,4,12,1,35.832271,128.710217,고산동
매동초등학교,대구광역시 수성구 천을로31길 16 (매호동),2,4,32,9,10,0,35.84521248,128.709212,고산동
매호초등학교,대구광역시 수성구 달구벌대로647길 30 (매호동),4,3,74,22,12.5,1,35.841593,128.7121173,고산동
무지개유치원,대구광역시 수성구 용학로 197 (지산동),1,1,12,0,16.5,2,35.844469,128.692702,고산동
비안네유치원,대구광역시 수성구 달구벌대로650길 81 (욱수동),2,2,12,3,6,1,35.831299,128.708749,고산동
시지아이숲유치원 ,대구광역시 수성구 달구벌대로625길 25 (시지동),2,1,37,6,16.5,0,35.84429531,128.6994139,고산동
시지어린이집,대구광역시 수성구 고산로 160-15 (매호동),1,1,8,3,11,0,35.84478308,128.707746,고산동
시지초등학교,대구광역시 수성구 달구벌대로631길 17 (매호동),4,4,53,10,15,0,35.843725,128.7031926,고산동
자연누리유치원,대구광역시 수성구 노변로 101 (노변동),1,1,21,4,10.5,1,35.840502,128.7005283,고산동
전원어린이집,대구광역시 수성구 유니버시아드로68길 16 (욱수동),1,1,14,3,5,0,35.82787864,128.706676,고산동
청림초등학교,대구광역시 수성구 고산로 51 (노변동),1,3,16,0,30,0,35.83563518,128.7033769,고산동
하늘유치원,대구광역시 수성구 노변공원로3길 10 (노변동),4,2,13,2,6.5,0,35.840338,128.699972,고산동
향뜰어린이집,대구광역시 수성구 천을로 125 (매호동),1,0,8,6,15,0,35.844194,128.7042808,고산동
 하늘어린이집,대구광역시 북구 고성로34길 90 (고성동1가),4,3,26,7,,0,35.8793927,128.5881726,고성동
