시설명,주소,구역지정수,시설물 CCTV 수,시설물 도로표지판 수,시설물 과속방지턱 수,보호구역도로폭,사고건수,위도,경도,평균주행속도,불법주정차위반건수,신호등_150m_개수
가창초등학교,대구광역시 달성군 가창면 가창로 640 ,1,3,9,0,,0,35.77105069,128.648247,52.94,32.4,4
용계초등학교,대구광역시 달성군 가창면 가창로221길 1 ,2,3,25,6,,0,35.80456757,128.6216025,52.94,216.0,12
 미리내어린이집,대구광역시 달서구 감삼길 99 (감삼동),0,0,0,0,10.0,1,35.84998499,128.5433046,34.48,,0
대구감삼초등학교,대구광역시 달서구 당산로 123 (감삼동),8,4,41,13,6.0,1,35.84917998,128.5451459,34.48,22.0,4
대구본리초등학교,대구광역시 달서구 장기로 198 (감삼동),7,4,33,16,8.0,1,35.84457103,128.5386403,34.48,21.6,16
무지개어린이집,대구광역시 달서구 감삼남2길 108 (감삼동),2,2,7,2,6.0,1,35.845311,128.5424424,34.48,,7
연제어린이집,대구광역시 달서구 감삼남길 49 (감삼동),2,1,9,4,10.0,0,35.8480268,128.5398261,34.48,,0
원화유치원,대구광역시 달서구 당산로21안길 49 (감삼동),2,1,8,7,8.0,1,35.84509678,128.5438481,34.48,,4
조은어린이집,대구광역시 달서구 당산로45길 95 (감삼동),2,1,9,4,6.0,2,35.85541593,128.5422125,34.48,,0
동촌성모유치원,대구광역시 동구 해동로 219 (검사동),1,0,12,2,15.0,0,35.88620992,128.6533618,37.55,17.0,0
 예나유치원,"대구광역시 수성구 욱수천로 133 (사월동, 시지2차사월보성타운)",1,1,12,4,15.0,0,35.840293,128.7162017,41.83,2.2,0
고산초등학교,대구광역시 수성구 달구벌대로 3067 (시지동),3,2,38,14,11.0,0,35.84395474,128.693198,41.83,54.2,5
고운어린이집,대구광역시 수성구 노변공원로7길 6-24 (노변동),2,1,19,4,10.0,1,35.83554109,128.6983109,41.83,15.6,6
노변초등학교,대구광역시 수성구 노변공원로 52 (시지동),2,1,39,14,17.5,1,35.83774591,128.6976275,41.83,85.4,4
동산어린이집,대구광역시 수성구 달구벌대로652길 65-6 (욱수동),1,1,11,4,12.0,1,35.832271,128.710217,41.83,,0
매동초등학교,대구광역시 수성구 천을로31길 16 (매호동),2,4,32,9,10.0,0,35.84521248,128.709212,41.83,104.0,0
매호초등학교,대구광역시 수성구 달구벌대로647길 30 (매호동),4,3,74,22,12.5,1,35.841593,128.7121173,41.83,116.6,7
무지개유치원,대구광역시 수성구 용학로 197 (지산동),1,1,12,0,16.5,2,35.844469,128.692702,41.83,142.0,5
비안네유치원,대구광역시 수성구 달구벌대로650길 81 (욱수동),2,2,12,3,6.0,1,35.831299,128.708749,41.83,0.4,3
시지아이숲유치원 ,대구광역시 수성구 달구벌대로625길 25 (시지동),2,1,37,6,16.5,0,35.84429531,128.6994139,41.83,28.8,0
시지어린이집,대구광역시 수성구 고산로 160-15 (매호동),1,1,8,3,11.0,0,35.84478308,128.707746,41.83,43.4,6
시지초등학교,대구광역시 수성구 달구벌대로631길 17 (매호동),4,4,53,10,15.0,0,35.843725,128.7031926,41.83,,4
자연누리유치원,대구광역시 수성구 노변로 101 (노변동),1,1,21,4,10.5,1,35.840502,128.7005283,41.83,1.4,2
전원어린이집,대구광역시 수성구 유니버시아드로68길 16 (욱수동),1,1,14,3,5.0,0,35.82787864,128.706676,41.83,,5
청림초등학교,대구광역시 수성구 고산로 51 (노변동),1,3,16,0,30.0,0,35.83563518,128.7033769,41.83,10.2,5
하늘유치원,대구광역시 수성구 노변공원로3길 10 (노변동),4,2,13,2,6.5,0,35.840338,128.699972,41.83,,0
향뜰어린이집,대구광역시 수성구 천을로 125 (매호동),1,0,8,6,15.0,0,35.844194,128.7042808,41.83,2.4,6
 하늘어린이집,대구광역시 북구 고성로34길 90 (고성동1가),4,3,26,7,,0,35.8793927,128.5881726,32.37,,13
아이별어린이집,대구광역시 북구 고성로34길 63 (고성동2가),0,0,0,0,,0,35.8799004,128.5868329,32.37,,4
 지묘어린이집,대구광역시 동구 파계로 117 (지묘동),1,0,7,0,20.0,0,35.944223,128.6370343,55.62,,7
단비어린이집,대구광역시 동구 팔공로91길 10 (지묘동),2,1,12,3,8.0,0,35.940566,128.644575,55.62,,12
대구공산초등학교,대구광역시 동구 팔공로197길 35 (백안동),1,2,12,6,8.0,0,35.9564807,128.6906261,55.62,32.5,2
대구서촌초등학교,대구광역시 동구 파계로 525-11 (중대동),2,0,10,0,20.0,0,35.98040326,128.6317455,55.62,2.0,0
대구선명학교,대구광역시 동구 팔공산로 225 (덕곡동),2,2,12,2,20.0,0,35.99718756,128.6137631,55.62,,2
대구지묘초등학교,대구광역시 동구 파계로6길 54-3 (지묘동),5,3,28,11,6.0,0,35.942816,128.6389777,55.62,13.25,1
위즈숲유치원,대구광역시 동구 파계로19길 12-7 (지묘동),1,0,4,0,6.0,0,35.94259175,128.6360031,55.62,,0
팔공초등학교,대구광역시 동구 연경지묘로 150 (지묘동),2,0,0,0,20.0,0,35.9471327,128.6252872,55.62,10.0,5
 환타랜드숲유치원,대구광역시 북구 매천로17길 17-1 (매천동),4,1,4,2,,0,35.90434132,128.5386172,59.66,,0
대구관문초등학교,대구광역시 북구 매전로 32 (매천동),2,1,14,2,,0,35.90869975,128.5461085,59.66,14.25,9
매천초등학교,대구광역시 북구 매천로 179 (매천동),4,6,39,3,,0,35.91332533,128.5410377,59.66,44.5,11
미소담어린이집,대구광역시 북구 매전로4길 10-20 (매천동),6,2,27,9,,0,35.90807568,128.5425981,59.66,,18
사수초등학교,대구광역시 북구 내곡로 124 (사수동),3,4,30,2,,0,35.90014717,128.5152503,59.66,4.75,8
삼영초등학교,대구광역시 북구 내곡로 63 (사수동),0,0,0,0,,0,35.901614,128.5096883,59.66,,12
해성유치원,대구광역시 북구 내곡로 123 (사수동),0,0,0,0,,0,35.89756743,128.5182978,59.66,,8
관음어린이집,대구광역시 북구 관음중앙로22길 3 (관음동),4,2,15,4,,0,35.9432277,128.5456811,55.86,39.75,0
관음초등학교,대구광역시 북구 관음동로17길 16 (관음동),5,3,18,5,,0,35.93992099,128.5471123,55.86,,4
대구관남초등학교,대구광역시 북구 칠곡중앙대로91길 10 (관음동),2,5,15,3,,0,35.93683759,128.5477879,55.86,117.75,6
한별유치원,대구광역시 북구 칠곡중앙대로99길 45-21 (관음동),0,0,0,0,,0,35.94061383,128.5456385,55.86,,2
행복숲유치원,"대구광역시 북구 구암로 17 (관음동, 칠곡2차(수정)한양아파트)",1,1,13,3,,1,35.93664054,128.5429351,55.86,,7
 칠곡한솔유치원,대구광역시 북구 태암로18길 20-7 (구암동),4,4,22,7,,0,35.9259879,128.5550239,31.82,,3
 큰뫼생태어린이집,대구광역시 북구 학정로42길 26-24 (구암동),0,0,0,0,,0,35.9250503,128.5583817,31.82,,5
강북초등학교,대구광역시 북구 구암서로 50 (구암동),3,5,45,8,,0,35.9408343,128.566782,31.82,48.0,26
구암어린이집,대구광역시 북구 구암로42길 13-20 (구암동),3,2,13,2,,0,35.9302986,128.5630209,31.82,0.5,3
구암초등학교,대구광역시 북구 학정로 245 (구암동),4,8,63,15,,0,35.92814416,128.5577585,31.82,,8
아이러브유치원,대구광역시 북구 구암로60길 45-14 (구암동),2,2,11,2,,0,35.9382737,128.5688728,31.82,,2
운암초등학교,대구광역시 북구 대천로 148 (구암동),0,0,0,0,,0,35.93569893,128.5656283,31.82,380.25,23
진성유치원,"대구광역시 북구 구암로 170 (구암동, 칠곡2차한라타운)",0,0,0,0,,0,35.93052009,128.5593829,31.82,120.0,13
채송화유치원,대구광역시 북구 학정로48길 42-6 (구암동),5,6,25,11,,0,35.92723501,128.5605621,31.82,,4
칠곡혜성유치원,대구광역시 북구 학정로42길 40 (구암동),6,5,20,5,,0,35.9267826,128.5589679,31.82,,4
구지세현유치원,대구광역시 달성군 구지면 국가산단대로70길 23 ,0,0,0,0,,1,35.66159725,128.4202023,50.3,,0
구지초등학교,대구광역시 달성군 구지면 창리로11길 45-11 ,6,4,21,3,,0,35.66021157,128.4125564,50.3,168.0,4
대구세현초등학교,대구광역시 달성군 구지면 국가산단대로66길 10 ,7,5,42,2,,1,35.65978473,128.4198073,50.3,,14
 도남초등학교,대구광역시 북구 구리로 202 (국우동),7,3,65,9,,1,35.94865981,128.577122,44.54,132.0,14
 라온제나어린이집,대구광역시 북구 도남길 33-9 (국우동),0,0,0,0,,0,35.9522319,128.5800568,44.54,,0
 리더스유치원,대구광역시 북구 학정동로13길 12 (학정동),5,16,37,15,,1,35.9502955,128.5665514,44.54,,8
 미술관유치원,대구광역시 북구 학남로1길 2-11 (학정동),0,0,0,0,,1,35.9490276,128.5662986,44.54,,41
 반디어린이집,대구광역시 북구 학정동로 84 (학정동),12,3,32,7,,1,35.9512033,128.5682272,44.54,,5
국우초등학교,대구광역시 북구 도남중앙로10길 45 (국우동),4,0,0,0,,0,35.95616,128.5858,44.54,,0
금빛유치원,대구광역시 동구 반야월로 208-1 (동호동),4,2,20,9,8.0,0,35.87172556,128.711336,44.54,,7
대구가톨릭대학교부설유치원,대구광역시 동구 안심로 300 (동호동),3,1,7,2,20.0,0,35.865592,128.7176258,44.54,,11
대구동호초등학교,대구광역시 동구 동호로 25 (동호동),1,1,18,2,20.0,0,35.8653521,128.7204858,44.54,25.5,10
동호어린이집,대구광역시 동구 안심로51길 120 (동호동),0,0,0,0,8.0,0,35.871609,128.713137,44.54,,18
아름다운유치원,대구광역시 동구 동호로2길 37-17 (동호동),3,1,14,3,,0,35.86536,128.7245,44.54,,9
에트라움어린이집,대구광역시 북구 학남로1길 29 (학정동),0,0,0,0,,0,35.951241,128.566044,44.54,,17
옥스포드유치원,대구광역시 북구 구리로 169 (국우동),0,0,0,0,,0,35.9479921,128.5731257,44.54,,3
학남어린이집,대구광역시 북구 주좌길 34 (학정동),0,0,0,0,,1,35.95070348,128.5692323,44.54,88.75,0
학남초등학교,대구광역시 북구 학정동로 23 (국우동),2,3,23,4,,0,35.9462397,128.5662836,44.54,,5
학정초등학교,대구광역시 북구 학남로 32 (학정동),6,2,28,6,,1,35.94822675,128.568978,44.54,75.25,19
해와달어린이집,대구광역시 북구 도남길 57-1 (국우동),1,2,12,6,,0,35.9540283,128.5805954,44.54,,0
효성유치원,대구광역시 북구 동암로37길 17 (국우동),3,1,13,8,,0,35.9448653,128.5710848,44.54,,0
꿈나무어린이집,대구광역시 중구 남산로1길 46-5 (남산동),2,1,9,3,9.0,0,35.85848306,128.5805841,33.32,,5
남산교회어린이집,대구광역시 중구 관덕정길 16 (남산동),2,1,12,5,8.0,0,35.8650401,128.590565,33.32,,2
남산초등학교,대구광역시 중구 남산로 70 (남산동),3,6,62,5,20.5,0,35.863204,128.5827598,33.32,100.0,22
대구삼성어린이집,대구광역시 중구 달구벌대로 2016-40 (남산동),2,1,20,4,7.5,0,35.864469,128.584301,33.32,,13
명덕초등학교,대구광역시 중구 남산로2길 125 (남산동),12,10,88,23,9.5,0,35.85754073,128.5890267,33.32,155.75,4
백합어린이집,대구광역시 중구 남산로4길 111 (남산동),1,0,12,0,10.5,0,35.86232188,128.5860582,33.32,,0
보나유치원,대구광역시 중구 남산로7길 86 (남산동),2,0,0,0,9.0,0,35.860456,128.579243,33.32,,0
성모유치원,대구광역시 중구 남산로4길 78 (남산동),3,1,25,9,10.5,0,35.86070072,128.5857647,33.32,,0
경운초등학교,대구광역시 서구 평리로54길 16 (내당동),19,7,14,26,10.0,0,35.86087951,128.552788,30.86,112.6,0
내서초등학교,대구광역시 서구 달구벌대로371길 35 (내당동),13,8,28,20,9.0,0,35.86381875,128.5667588,30.86,201.0,0
다인어린이집,대구광역시 서구 달서로7길 9 (내당동),4,0,4,2,30.0,0,35.8649326,128.5700955,30.86,78.0,4
동양유치원,대구광역시 서구 평리로78길 8-12 (내당동),2,1,3,4,7.0,0,35.8654976,128.5651622,30.86,,17
두류초등학교,대구광역시 서구 달구벌대로357길 22 (내당동),13,5,13,21,8.0,0,35.8616275,128.559932,30.86,477.8,6
상지유치원,대구광역시 서구 달서로 33 (내당동),7,2,20,7,8.0,0,35.86586634,128.5703329,30.86,,8
세화유치원,대구광역시 서구 서대구로5길 56 (내당동),6,4,15,6,12.0,0,35.86000712,128.5504904,30.86,,0
우주과학유치원,대구광역시 북구 오봉로6길 9-1 (노원동1가),3,3,14,2,,0,35.8903643,128.5776159,35.22,,19
남동초등학교,대구광역시 달성군 논공읍 논공로 258 ,4,2,29,0,,0,35.72463823,128.456469,58.89,3.2,0
논공어린이집,대구광역시 달성군 논공읍 논공로23길 6-15 ,2,1,13,2,,0,35.730295,128.4470703,58.89,,10
대구금포초등학교,대구광역시 달성군 논공읍 금포초등길 28 ,21,4,63,2,,0,35.77429302,128.4254986,58.89,127.2,33
대구논공초등학교,대구광역시 달성군 논공읍 논공로7길 41 ,0,0,0,0,,0,35.73103879,128.4376482,58.89,117.4,0
대구북동초등학교,대구광역시 달성군 논공읍 논공로11길 18 ,15,15,96,22,,0,35.72947978,128.4413202,58.89,287.4,3
