읍면동,평균주행속도
가창면,52.94
감삼동,34.48
동촌동,37.55
고성동,32.37
관음동,55.86
구암동,31.82
구지면,50.3
국우동,44.54
남산동,33.3175
성내동,29.56333333
내당동,30.85666667
고산동,41.83333333
노원동,35.22
논공읍,58.89
다사읍,40.57
대명동,35.31
대신동,18.69
대현동,35.87
도원동,31.93
무태조야동,44.37
동인동,35.43
동천동,29.97
두류동,32.945
두산동,33.37
만촌동,39.84333333
관문동,59.66
방촌동,38.96
공산동,55.62
범물동,36.31
범어동,36.6775
복현동,37.455
본동,30.61
본리동,32.6
봉덕동,37.09333333
해안동,72.8
비산동,35.35833333
안심동,45.96333333
산격동,35.175
삼덕동,30.23
상인동,36.08
성당동,30.44
송현동,32.105
수성동,35.25
신당동,35.93
신암동,34.158
옥포읍,65.3
용산동,33.265
원대동,29.51
월성동,32.97
유가읍,54.32
읍내동,37.86
이곡동,34.315
이천동,41.53
상중이동,50.57
중동,33.28
지산동,47.09
진천동,30.92
칠성동,31.38
침산동,37.06333333
태전동,42.48
파동,56.38
평리동,35.225
하빈면,59.56
현풍읍,56.15
화원읍,49.99
황금동,42.355
효목동,34.525
봉무동,55.11
지저동,38.76
상동,32.21
신천동,34.22
장기동,38.33
죽전동,32.68
